"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","isoforest_score"
"Cell1529","SeuratProject",33,33,0,-0.0529404493752068
"Cell1530","SeuratProject",43,41,0,-0.120547462383493
"Cell1531","SeuratProject",47,44,0,-0.0652923191498441
"Cell1532","SeuratProject",45,45,0,-0.089304337797713
"Cell1533","SeuratProject",35,33,0,-0.0550630612165877
"Cell1534","SeuratProject",42,41,0,-0.132104934029768
"Cell1535","SeuratProject",46,45,0,-0.104447736368418
"Cell1536","SeuratProject",48,46,0,-0.0694425359921111
"Cell1537","SeuratProject",45,43,0,-0.1094791302964
"Cell1538","SeuratProject",49,46,0,-0.0359836772743072
"Cell1539","SeuratProject",31,31,0,-0.0437860536635473
"Cell1540","SeuratProject",39,39,0,-0.106535913508881
"Cell1541","SeuratProject",39,39,0,-0.106535913508881
"Cell1542","SeuratProject",37,36,0,-0.108529277334392
"Cell1543","SeuratProject",52,49,0,0.0336473962502195
"Cell1544","SeuratProject",36,36,0,-0.0862155507256251
"Cell1545","SeuratProject",51,48,0,0.00212568939759405
"Cell1546","SeuratProject",52,48,0,0.0395938938135962
"Cell1547","SeuratProject",36,35,0,-0.100708576765086
"Cell1548","SeuratProject",44,42,0,-0.1108684007134
"Cell1549","SeuratProject",38,37,0,-0.126165582837422
"Cell1550","SeuratProject",41,41,0,-0.102402206597157
"Cell1552","SeuratProject",44,43,0,-0.113107739462977
"Cell1553","SeuratProject",40,39,0,-0.119672188357454
"Cell1554","SeuratProject",36,34,0,-0.083049093154336
"Cell1555","SeuratProject",30,29,0,0
"Cell1556","SeuratProject",44,43,0,-0.113107739462977
"Cell1557","SeuratProject",41,40,0,-0.140315856156687
"Cell1558","SeuratProject",43,42,0,-0.125543566849907
"Cell1559","SeuratProject",40,39,0,-0.119672188357454
"Cell1560","SeuratProject",46,44,0,-0.0988379931844763
"Cell1561","SeuratProject",43,40,0,-0.0905215712775407
"Cell1562","SeuratProject",41,40,0,-0.140315856156687
"Cell1563","SeuratProject",50,50,0,0.00581090831645836
"Cell1564","SeuratProject",50,47,0,-0.0219135541627762
"Cell1565","SeuratProject",39,37,0,-0.108202743211851
"Cell1566","SeuratProject",39,39,0,-0.106535913508881
"Cell1567","SeuratProject",39,39,0,-0.106535913508881
"Cell1568","SeuratProject",45,42,0,-0.0879785258568143
"Cell1569","SeuratProject",30,30,0,-0.0135648302487286
"Cell1570","SeuratProject",41,41,0,-0.102402206597157
"Cell1571","SeuratProject",43,41,0,-0.120547462383493
"Cell1572","SeuratProject",35,32,0,-0.0245241720850684
"Cell1573","SeuratProject",40,39,0,-0.119672188357454
"Cell1574","SeuratProject",43,41,0,-0.120547462383493
"Cell1575","SeuratProject",31,31,0,-0.0437860536635473
"Cell1576","SeuratProject",42,39,0,-0.0904322991265811
"Cell1577","SeuratProject",36,33,0,-0.042519340089826
"Cell1578","SeuratProject",41,41,0,-0.102402206597157
"Cell1580","SeuratProject",44,42,0,-0.1108684007134
"Cell1581","SeuratProject",36,34,0,-0.083049093154336
"Cell1582","SeuratProject",42,40,0,-0.116251208275036
"Cell1583","SeuratProject",31,30,0,-0.0441057965385686
"Cell1584","SeuratProject",39,39,0,-0.106535913508881
"Cell1585","SeuratProject",45,43,0,-0.1094791302964
"Cell1586","SeuratProject",35,34,0,-0.0935100874590804
"Cell1587","SeuratProject",39,38,0,-0.125911316796102
"Cell1589","SeuratProject",39,39,0,-0.106535913508881
"Cell1590","SeuratProject",33,32,0,-0.0601384707826172
"Cell1591","SeuratProject",38,38,0,-0.120792137682289
"Cell1592","SeuratProject",30,30,0,-0.0135648302487286
"Cell1593","SeuratProject",36,36,0,-0.0862155507256251
"Cell1594","SeuratProject",43,40,0,-0.0905215712775407
"Cell1595","SeuratProject",40,38,0,-0.10362894103794
"Cell1596","SeuratProject",45,42,0,-0.0879785258568143
"Cell1597","SeuratProject",37,34,0,-0.0539438229193374
"Cell1598","SeuratProject",38,37,0,-0.126165582837422
"Cell1599","SeuratProject",40,40,0,-0.114802720065092
"Cell1600","SeuratProject",34,34,0,-0.0622168716309411
"Cell1601","SeuratProject",50,48,0,-0.0261396818470294
"Cell1602","SeuratProject",50,48,0,-0.0261396818470294
"Cell1603","SeuratProject",37,36,0,-0.108529277334392
"Cell1604","SeuratProject",30,30,0,-0.0135648302487286
"Cell1605","SeuratProject",45,43,0,-0.1094791302964
"Cell1606","SeuratProject",40,40,0,-0.114802720065092
"Cell1607","SeuratProject",49,49,0,-0.00690570705932847
"Cell1608","SeuratProject",41,40,0,-0.140315856156687
"Cell1609","SeuratProject",37,34,0,-0.0539438229193374
"Cell1610","SeuratProject",38,38,0,-0.120792137682289
"Cell1611","SeuratProject",33,33,0,-0.0529404493752068
"Cell1612","SeuratProject",37,35,0,-0.0848603016289688
"Cell1613","SeuratProject",34,33,0,-0.0674238122874688
"Cell1614","SeuratProject",32,32,0,-0.0454481190212956
"Cell1615","SeuratProject",43,42,0,-0.125543566849907
"Cell1616","SeuratProject",36,35,0,-0.100708576765086
"Cell1617","SeuratProject",47,47,0,-0.0403181036746018
"Cell1618","SeuratProject",42,41,0,-0.132104934029768
"Cell1619","SeuratProject",41,40,0,-0.140315856156687
"Cell1620","SeuratProject",42,41,0,-0.132104934029768
"Cell1621","SeuratProject",40,38,0,-0.10362894103794
"Cell1622","SeuratProject",46,45,0,-0.104447736368418
"Cell1623","SeuratProject",44,43,0,-0.113107739462977
"Cell1624","SeuratProject",43,43,0,-0.0981113095577119
"Cell1625","SeuratProject",47,46,0,-0.0721330105042981
"Cell1626","SeuratProject",44,43,0,-0.113107739462977
"Cell1628","SeuratProject",37,35,0,-0.0848603016289688
"Cell1629","SeuratProject",51,50,0,0.0050407571764014
"Cell1630","SeuratProject",41,40,0,-0.140315856156687
"Cell1631","SeuratProject",36,35,0,-0.100708576765086
"Cell1632","SeuratProject",37,33,0,-0.024258494805704
"Cell1633","SeuratProject",35,35,0,-0.0750453438428789
"Cell1634","SeuratProject",41,40,0,-0.140315856156687
"Cell1636","SeuratProject",35,34,0,-0.0935100874590804
"Cell1637","SeuratProject",41,40,0,-0.140315856156687
"Cell1638","SeuratProject",42,41,0,-0.132104934029768
"Cell1639","SeuratProject",36,36,0,-0.0862155507256251
"Cell1640","SeuratProject",36,35,0,-0.100708576765086
"Cell1641","SeuratProject",36,36,0,-0.0862155507256251
"Cell1642","SeuratProject",38,35,0,-0.062633540134845
"Cell1643","SeuratProject",41,41,0,-0.102402206597157
"Cell1644","SeuratProject",36,34,0,-0.083049093154336
"Cell1645","SeuratProject",43,42,0,-0.125543566849907
"Cell1646","SeuratProject",42,42,0,-0.0993157718875632
"Cell1647","SeuratProject",40,40,0,-0.114802720065092
"Cell1648","SeuratProject",47,45,0,-0.0821044824376019
"Cell1650","SeuratProject",47,47,0,-0.0403181036746018
"Cell1652","SeuratProject",40,39,0,-0.119672188357454
"Cell1653","SeuratProject",44,42,0,-0.1108684007134
"Cell1654","SeuratProject",52,47,0,0.0401624962726256
"Cell1655","SeuratProject",39,38,0,-0.125911316796102
"Cell1656","SeuratProject",34,33,0,-0.0674238122874688
"Cell1657","SeuratProject",43,42,0,-0.125543566849907
"Cell1658","SeuratProject",35,34,0,-0.0935100874590804
"Cell1659","SeuratProject",32,30,0,-0.0274968312766237
"Cell1660","SeuratProject",52,50,0,0.0226004622639941
"Cell1661","SeuratProject",49,49,0,-0.00690570705932847
"Cell1662","SeuratProject",37,35,0,-0.0848603016289688
"Cell1663","SeuratProject",35,32,0,-0.0245241720850684
"Cell1664","SeuratProject",43,42,0,-0.125543566849907
"Cell1665","SeuratProject",39,39,0,-0.106535913508881
"Cell1666","SeuratProject",40,38,0,-0.10362894103794
"Cell1667","SeuratProject",34,34,0,-0.0622168716309411
"Cell1668","SeuratProject",47,47,0,-0.0403181036746018
"Cell1669","SeuratProject",37,36,0,-0.108529277334392
"Cell1670","SeuratProject",42,40,0,-0.116251208275036
"Cell1671","SeuratProject",47,45,0,-0.0821044824376019
"Cell1672","SeuratProject",41,39,0,-0.11922676566074
"Cell1673","SeuratProject",37,35,0,-0.0848603016289688
"Cell1674","SeuratProject",43,42,0,-0.125543566849907
"Cell1675","SeuratProject",53,48,0,0.044678792687121
"Cell1676","SeuratProject",48,48,0,-0.0267241480606816
"Cell1677","SeuratProject",49,49,0,-0.00690570705932847
"Cell1678","SeuratProject",47,43,0,-0.0456302531635797
"Cell1679","SeuratProject",39,39,0,-0.106535913508881
"Cell1680","SeuratProject",44,41,0,-0.0864675835086444
"Cell1681","SeuratProject",43,42,0,-0.125543566849907
"Cell1682","SeuratProject",45,45,0,-0.089304337797713
"Cell1683","SeuratProject",35,34,0,-0.0935100874590804
"Cell1684","SeuratProject",43,42,0,-0.125543566849907
"Cell1685","SeuratProject",53,49,0,0.0420987225899572
"Cell1686","SeuratProject",33,32,0,-0.0601384707826172
"Cell1687","SeuratProject",31,31,0,-0.0437860536635473
"Cell1688","SeuratProject",38,35,0,-0.062633540134845
"Cell1689","SeuratProject",31,31,0,-0.0437860536635473
"Cell1690","SeuratProject",46,45,0,-0.104447736368418
"Cell1691","SeuratProject",48,46,0,-0.0694425359921111
"Cell1693","SeuratProject",47,46,0,-0.0721330105042981
"Cell1694","SeuratProject",48,45,0,-0.0676257493823741
"Cell1695","SeuratProject",51,51,0,0.0318573726211886
"Cell1696","SeuratProject",39,38,0,-0.125911316796102
"Cell1697","SeuratProject",40,37,0,-0.0752335669708093
"Cell1698","SeuratProject",41,39,0,-0.11922676566074
"Cell1699","SeuratProject",34,33,0,-0.0674238122874688
"Cell1700","SeuratProject",41,40,0,-0.140315856156687
"Cell1701","SeuratProject",33,31,0,-0.0241043576332021
"Cell1702","SeuratProject",39,39,0,-0.106535913508881
"Cell1703","SeuratProject",30,30,0,-0.0135648302487286
"Cell1704","SeuratProject",40,40,0,-0.114802720065092
"Cell1705","SeuratProject",32,32,0,-0.0454481190212956
"Cell1706","SeuratProject",50,48,0,-0.0261396818470294
"Cell1707","SeuratProject",43,43,0,-0.0981113095577119
"Cell1708","SeuratProject",52,49,0,0.0336473962502195
"Cell1709","SeuratProject",42,41,0,-0.132104934029768
"Cell1710","SeuratProject",37,34,0,-0.0539438229193374
"Cell1711","SeuratProject",33,31,0,-0.0241043576332021
"Cell1712","SeuratProject",43,41,0,-0.120547462383493
"Cell1713","SeuratProject",42,39,0,-0.0904322991265811
"Cell1714","SeuratProject",47,46,0,-0.0721330105042981
"Cell1715","SeuratProject",43,43,0,-0.0981113095577119
"Cell1716","SeuratProject",47,45,0,-0.0821044824376019
"Cell1717","SeuratProject",49,48,0,-0.0473076105761039
"Cell1718","SeuratProject",34,34,0,-0.0622168716309411
"Cell1719","SeuratProject",46,44,0,-0.0988379931844763
"Cell1720","SeuratProject",43,41,0,-0.120547462383493
"Cell1721","SeuratProject",40,39,0,-0.119672188357454
"Cell1722","SeuratProject",44,44,0,-0.0717491333856407
"Cell1723","SeuratProject",43,43,0,-0.0981113095577119
"Cell1724","SeuratProject",49,49,0,-0.00690570705932847
"Cell1725","SeuratProject",40,40,0,-0.114802720065092
"Cell1726","SeuratProject",36,34,0,-0.083049093154336
"Cell1727","SeuratProject",49,47,0,-0.0630020960796193
"Cell1728","SeuratProject",42,40,0,-0.116251208275036
"Cell1730","SeuratProject",44,42,0,-0.1108684007134
"Cell1731","SeuratProject",42,39,0,-0.0904322991265811
"Cell1732","SeuratProject",47,44,0,-0.0652923191498441
"Cell1733","SeuratProject",41,40,0,-0.140315856156687
"Cell1734","SeuratProject",45,44,0,-0.106674781707554
"Cell1735","SeuratProject",39,38,0,-0.125911316796102
"Cell1736","SeuratProject",48,47,0,-0.0546278183463105
"Cell1737","SeuratProject",38,37,0,-0.126165582837422
"Cell1738","SeuratProject",42,40,0,-0.116251208275036
"Cell1739","SeuratProject",43,42,0,-0.125543566849907
"Cell1740","SeuratProject",44,41,0,-0.0864675835086444
"Cell1742","SeuratProject",39,36,0,-0.073145077870989
"Cell1743","SeuratProject",40,39,0,-0.119672188357454
"Cell1744","SeuratProject",38,37,0,-0.126165582837422
"Cell1745","SeuratProject",45,45,0,-0.089304337797713
"Cell1746","SeuratProject",41,40,0,-0.140315856156687
"Cell1747","SeuratProject",42,39,0,-0.0904322991265811
"Cell1749","SeuratProject",31,30,0,-0.0441057965385686
"Cell1750","SeuratProject",33,32,0,-0.0601384707826172
"Cell1751","SeuratProject",48,46,0,-0.0694425359921111
"Cell1752","SeuratProject",31,31,0,-0.0437860536635473
"Cell1753","SeuratProject",34,34,0,-0.0622168716309411
"Cell1754","SeuratProject",38,38,0,-0.120792137682289
"Cell1755","SeuratProject",35,34,0,-0.0935100874590804
"Cell1756","SeuratProject",45,45,0,-0.089304337797713
"Cell1757","SeuratProject",30,30,0,-0.0135648302487286
"Cell1758","SeuratProject",45,45,0,-0.089304337797713
"Cell1759","SeuratProject",30,29,0,0
"Cell1760","SeuratProject",39,38,0,-0.125911316796102
"Cell1761","SeuratProject",46,44,0,-0.0988379931844763
"Cell1762","SeuratProject",32,31,0,-0.0437250879906633
"Cell1763","SeuratProject",38,36,0,-0.0974043618173572
"Cell1764","SeuratProject",36,36,0,-0.0862155507256251
"Cell1765","SeuratProject",49,48,0,-0.0473076105761039
"Cell1766","SeuratProject",50,48,0,-0.0261396818470294
"Cell1768","SeuratProject",34,33,0,-0.0674238122874688
"Cell1769","SeuratProject",42,41,0,-0.132104934029768
"Cell1770","SeuratProject",48,48,0,-0.0267241480606816
"Cell1771","SeuratProject",46,45,0,-0.104447736368418
"Cell1772","SeuratProject",45,42,0,-0.0879785258568143
"Cell1773","SeuratProject",38,37,0,-0.126165582837422
"Cell1774","SeuratProject",40,38,0,-0.10362894103794
"Cell1775","SeuratProject",50,50,0,0.00581090831645836
"Cell1776","SeuratProject",34,33,0,-0.0674238122874688
"Cell1777","SeuratProject",41,40,0,-0.140315856156687
"Cell1778","SeuratProject",39,38,0,-0.125911316796102
"Cell1779","SeuratProject",41,41,0,-0.102402206597157
"Cell1780","SeuratProject",39,38,0,-0.125911316796102
"Cell1781","SeuratProject",51,46,0,0.0255700903692822
"Cell1782","SeuratProject",42,41,0,-0.132104934029768
"Cell1783","SeuratProject",36,36,0,-0.0862155507256251
"Cell1784","SeuratProject",46,45,0,-0.104447736368418
"Cell1785","SeuratProject",48,47,0,-0.0546278183463105
"Cell1786","SeuratProject",47,46,0,-0.0721330105042981
"Cell1787","SeuratProject",42,41,0,-0.132104934029768
"Cell1789","SeuratProject",38,37,0,-0.126165582837422
"Cell1790","SeuratProject",43,40,0,-0.0905215712775407
"Cell1791","SeuratProject",46,43,0,-0.0807568128903705
"Cell1792","SeuratProject",42,40,0,-0.116251208275036
"Cell1793","SeuratProject",51,50,0,0.0050407571764014
"Cell1794","SeuratProject",41,40,0,-0.140315856156687
"Cell1795","SeuratProject",31,30,0,-0.0441057965385686
"Cell1796","SeuratProject",36,35,0,-0.100708576765086
"Cell1797","SeuratProject",46,43,0,-0.0807568128903705
"Cell1798","SeuratProject",37,36,0,-0.108529277334392
"Cell1799","SeuratProject",39,39,0,-0.106535913508881
"Cell1800","SeuratProject",40,39,0,-0.119672188357454
"Cell1801","SeuratProject",35,34,0,-0.0935100874590804
"Cell1803","SeuratProject",33,32,0,-0.0601384707826172
"Cell1804","SeuratProject",33,30,0,-0.00954886766292284
"Cell1806","SeuratProject",36,36,0,-0.0862155507256251
"Cell1807","SeuratProject",38,36,0,-0.0974043618173572
"Cell1808","SeuratProject",38,36,0,-0.0974043618173572
"Cell1809","SeuratProject",41,40,0,-0.140315856156687
"Cell1810","SeuratProject",42,42,0,-0.0993157718875632
"Cell1811","SeuratProject",39,37,0,-0.108202743211851
"Cell1812","SeuratProject",42,42,0,-0.0993157718875632
"Cell1813","SeuratProject",50,49,0,-0.0185465981334861
"Cell1814","SeuratProject",41,39,0,-0.11922676566074
"Cell1815","SeuratProject",42,41,0,-0.132104934029768
"Cell1818","SeuratProject",43,41,0,-0.120547462383493
"Cell1819","SeuratProject",37,35,0,-0.0848603016289688
"Cell1820","SeuratProject",43,43,0,-0.0981113095577119
"Cell1821","SeuratProject",30,28,0,0.0333191778033766
"Cell1822","SeuratProject",44,44,0,-0.0717491333856407
"Cell1823","SeuratProject",36,35,0,-0.100708576765086
"Cell1824","SeuratProject",43,42,0,-0.125543566849907
"Cell1825","SeuratProject",39,39,0,-0.106535913508881
"Cell1826","SeuratProject",35,33,0,-0.0550630612165877
"Cell1827","SeuratProject",41,40,0,-0.140315856156687
"Cell1828","SeuratProject",33,32,0,-0.0601384707826172
"Cell1829","SeuratProject",34,32,0,-0.0423829633623423
"Cell1830","SeuratProject",37,36,0,-0.108529277334392
"Cell1831","SeuratProject",35,35,0,-0.0750453438428789
"Cell1832","SeuratProject",41,40,0,-0.140315856156687
"Cell1833","SeuratProject",39,38,0,-0.125911316796102
"Cell1834","SeuratProject",49,44,0,-0.013281115213673
"Cell1835","SeuratProject",34,33,0,-0.0674238122874688
"Cell1836","SeuratProject",47,47,0,-0.0403181036746018
"Cell1838","SeuratProject",36,35,0,-0.100708576765086
"Cell1839","SeuratProject",46,45,0,-0.104447736368418
"Cell1840","SeuratProject",36,34,0,-0.083049093154336
"Cell1841","SeuratProject",38,36,0,-0.0974043618173572
"Cell1842","SeuratProject",32,32,0,-0.0454481190212956
"Cell1843","SeuratProject",47,45,0,-0.0821044824376019
"Cell1844","SeuratProject",40,40,0,-0.114802720065092
"Cell1845","SeuratProject",47,43,0,-0.0456302531635797
"Cell1846","SeuratProject",50,48,0,-0.0261396818470294
"Cell1847","SeuratProject",42,40,0,-0.116251208275036
"Cell1848","SeuratProject",47,44,0,-0.0652923191498441
"Cell1849","SeuratProject",33,33,0,-0.0529404493752068
"Cell1850","SeuratProject",32,31,0,-0.0437250879906633
"Cell1851","SeuratProject",36,35,0,-0.100708576765086
"Cell1852","SeuratProject",32,31,0,-0.0437250879906633
"Cell1853","SeuratProject",47,45,0,-0.0821044824376019
"Cell1854","SeuratProject",44,43,0,-0.113107739462977
"Cell1856","SeuratProject",43,41,0,-0.120547462383493
"Cell1857","SeuratProject",41,41,0,-0.102402206597157
"Cell1858","SeuratProject",35,35,0,-0.0750453438428789
"Cell1859","SeuratProject",37,35,0,-0.0848603016289688
"Cell1860","SeuratProject",31,31,0,-0.0437860536635473
"Cell1861","SeuratProject",52,51,0,0.0335827052682939
"Cell1862","SeuratProject",41,39,0,-0.11922676566074
"Cell1863","SeuratProject",38,37,0,-0.126165582837422
"Cell1864","SeuratProject",45,42,0,-0.0879785258568143
"Cell1865","SeuratProject",45,42,0,-0.0879785258568143
"Cell1866","SeuratProject",46,45,0,-0.104447736368418
"Cell1867","SeuratProject",49,48,0,-0.0473076105761039
"Cell1868","SeuratProject",32,32,0,-0.0454481190212956
"Cell1869","SeuratProject",42,40,0,-0.116251208275036
"Cell1870","SeuratProject",50,49,0,-0.0185465981334861
"Cell1871","SeuratProject",49,47,0,-0.0630020960796193
"Cell1872","SeuratProject",45,43,0,-0.1094791302964
"Cell1873","SeuratProject",36,35,0,-0.100708576765086
"Cell1874","SeuratProject",35,34,0,-0.0935100874590804
"Cell1875","SeuratProject",38,36,0,-0.0974043618173572
"Cell1876","SeuratProject",44,43,0,-0.113107739462977
"Cell1877","SeuratProject",38,38,0,-0.120792137682289
"Cell1878","SeuratProject",45,44,0,-0.106674781707554
"Cell1879","SeuratProject",48,46,0,-0.0694425359921111
"Cell1880","SeuratProject",37,35,0,-0.0848603016289688
"Cell1881","SeuratProject",35,34,0,-0.0935100874590804
"Cell1882","SeuratProject",35,34,0,-0.0935100874590804
"Cell1883","SeuratProject",52,51,0,0.0335827052682939
"Cell1884","SeuratProject",43,41,0,-0.120547462383493
"Cell1885","SeuratProject",34,34,0,-0.0622168716309411
"Cell1886","SeuratProject",44,44,0,-0.0717491333856407
"Cell1887","SeuratProject",35,34,0,-0.0935100874590804
"Cell1888","SeuratProject",35,32,0,-0.0245241720850684
"Cell1889","SeuratProject",34,34,0,-0.0622168716309411
"Cell1890","SeuratProject",51,49,0,-0.00111293731515005
"Cell1891","SeuratProject",39,38,0,-0.125911316796102
"Cell1892","SeuratProject",43,42,0,-0.125543566849907
"Cell1893","SeuratProject",33,33,0,-0.0529404493752068
"Cell1894","SeuratProject",37,35,0,-0.0848603016289688
"Cell1895","SeuratProject",30,29,0,0
"Cell1896","SeuratProject",53,50,0,0.0271321817211436
"Cell1897","SeuratProject",36,35,0,-0.100708576765086
"Cell1898","SeuratProject",37,35,0,-0.0848603016289688
"Cell1899","SeuratProject",49,48,0,-0.0473076105761039
"Cell1900","SeuratProject",42,41,0,-0.132104934029768
"Cell1902","SeuratProject",49,48,0,-0.0473076105761039
"Cell1903","SeuratProject",45,40,0,-0.0323795198079312
"Cell1904","SeuratProject",42,39,0,-0.0904322991265811
"Cell1905","SeuratProject",32,32,0,-0.0454481190212956
"Cell1906","SeuratProject",41,38,0,-0.0812969822485509
"Cell1907","SeuratProject",46,46,0,-0.0682313220853901
"Cell1910","SeuratProject",41,40,0,-0.140315856156687
"Cell1911","SeuratProject",37,35,0,-0.0848603016289688
"Cell1912","SeuratProject",41,39,0,-0.11922676566074
"Cell1913","SeuratProject",30,29,0,0
"Cell1914","SeuratProject",47,45,0,-0.0821044824376019
"Cell1915","SeuratProject",30,30,0,-0.0135648302487286
"Cell1916","SeuratProject",45,44,0,-0.106674781707554
"Cell1917","SeuratProject",43,41,0,-0.120547462383493
"Cell1918","SeuratProject",52,51,0,0.0335827052682939
"Cell1919","SeuratProject",43,41,0,-0.120547462383493
"Cell1920","SeuratProject",39,38,0,-0.125911316796102
"Cell1921","SeuratProject",39,39,0,-0.106535913508881
"Cell1922","SeuratProject",40,40,0,-0.114802720065092
"Cell1923","SeuratProject",31,30,0,-0.0441057965385686
"Cell1924","SeuratProject",46,45,0,-0.104447736368418
"Cell1925","SeuratProject",33,31,0,-0.0241043576332021
"Cell1926","SeuratProject",31,30,0,-0.0441057965385686
"Cell1927","SeuratProject",46,40,0,-0.0033774832206791
"Cell1928","SeuratProject",38,36,0,-0.0974043618173572
"Cell1929","SeuratProject",31,29,0,-0.00139861083737891
"Cell1930","SeuratProject",46,46,0,-0.0682313220853901
"Cell1931","SeuratProject",37,35,0,-0.0848603016289688
"Cell1933","SeuratProject",39,39,0,-0.106535913508881
"Cell1935","SeuratProject",42,41,0,-0.132104934029768
"Cell1936","SeuratProject",38,38,0,-0.120792137682289
"Cell1937","SeuratProject",36,35,0,-0.100708576765086
"Cell1938","SeuratProject",53,50,0,0.0271321817211436
"Cell1939","SeuratProject",52,51,0,0.0335827052682939
"Cell1940","SeuratProject",45,45,0,-0.089304337797713
"Cell1941","SeuratProject",37,35,0,-0.0848603016289688
"Cell1942","SeuratProject",43,43,0,-0.0981113095577119
"Cell1943","SeuratProject",52,50,0,0.0226004622639941
"Cell1944","SeuratProject",41,39,0,-0.11922676566074
"Cell1945","SeuratProject",34,34,0,-0.0622168716309411
"Cell1946","SeuratProject",31,31,0,-0.0437860536635473
"Cell1947","SeuratProject",49,47,0,-0.0630020960796193
"Cell1948","SeuratProject",32,32,0,-0.0454481190212956
"Cell1949","SeuratProject",45,43,0,-0.1094791302964
"Cell1950","SeuratProject",48,47,0,-0.0546278183463105
"Cell1951","SeuratProject",41,40,0,-0.140315856156687
"Cell1952","SeuratProject",47,45,0,-0.0821044824376019
"Cell1953","SeuratProject",40,40,0,-0.114802720065092
"Cell1954","SeuratProject",46,45,0,-0.104447736368418
"Cell1955","SeuratProject",40,40,0,-0.114802720065092
"Cell1956","SeuratProject",38,36,0,-0.0974043618173572
"Cell1957","SeuratProject",40,39,0,-0.119672188357454
"Cell1959","SeuratProject",39,39,0,-0.106535913508881
"Cell1960","SeuratProject",44,43,0,-0.113107739462977
"Cell1961","SeuratProject",42,41,0,-0.132104934029768
"Cell1962","SeuratProject",47,45,0,-0.0821044824376019
"Cell1963","SeuratProject",41,38,0,-0.0812969822485509
"Cell1964","SeuratProject",33,32,0,-0.0601384707826172
"Cell1965","SeuratProject",40,38,0,-0.10362894103794
"Cell1966","SeuratProject",43,43,0,-0.0981113095577119
"Cell1967","SeuratProject",41,38,0,-0.0812969822485509
"Cell1968","SeuratProject",36,36,0,-0.0862155507256251
"Cell1969","SeuratProject",44,43,0,-0.113107739462977
"Cell1971","SeuratProject",34,33,0,-0.0674238122874688
"Cell1973","SeuratProject",49,47,0,-0.0630020960796193
"Cell1974","SeuratProject",46,45,0,-0.104447736368418
"Cell1975","SeuratProject",52,51,0,0.0335827052682939
"Cell1976","SeuratProject",49,47,0,-0.0630020960796193
"Cell1977","SeuratProject",36,36,0,-0.0862155507256251
"Cell1978","SeuratProject",33,32,0,-0.0601384707826172
"Cell1979","SeuratProject",33,33,0,-0.0529404493752068
"Cell1980","SeuratProject",42,39,0,-0.0904322991265811
"Cell1981","SeuratProject",33,33,0,-0.0529404493752068
"Cell1982","SeuratProject",34,34,0,-0.0622168716309411
"Cell1983","SeuratProject",40,40,0,-0.114802720065092
"Cell1984","SeuratProject",37,36,0,-0.108529277334392
"Cell1985","SeuratProject",50,48,0,-0.0261396818470294
"Cell1986","SeuratProject",42,42,0,-0.0993157718875632
"Cell1987","SeuratProject",46,45,0,-0.104447736368418
"Cell1988","SeuratProject",36,34,0,-0.083049093154336
"Cell1989","SeuratProject",53,50,0,0.0271321817211436
"Cell1990","SeuratProject",31,29,0,-0.00139861083737891
"Cell1991","SeuratProject",43,40,0,-0.0905215712775407
"Cell1992","SeuratProject",37,37,0,-0.0922958951325496
"Cell1993","SeuratProject",47,43,0,-0.0456302531635797
"Cell1994","SeuratProject",39,38,0,-0.125911316796102
"Cell1995","SeuratProject",40,38,0,-0.10362894103794
"Cell1996","SeuratProject",42,41,0,-0.132104934029768
"Cell1997","SeuratProject",44,43,0,-0.113107739462977
"Cell1999","SeuratProject",38,37,0,-0.126165582837422
"Cell2000","SeuratProject",38,37,0,-0.126165582837422
